Person ID,Exists,Job ID,Candidate_SF_Id,Job_SF_Id,Job_Submission_Exists,Error
65,Exist,179303,a00N300000NYJ1NIAX,a02N300000qJg7FIAS,Not Exist,
1714,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
30436,Exist,181707,a00N300001Cy2luIAB,a02N300000qLSrPIAW,Exist,
34658,Not Exist,182162,,,N/A (candidate not in SF),
34666,Not Exist,181707,,,N/A (candidate not in SF),
34793,Not Exist,179306,,,N/A (candidate not in SF),
38446,Not Exist,182162,,,N/A (candidate not in SF),
39440,Exist,179306,a00N300001GNRCHIA5,a02N300000qJPOAIA4,Not Exist,
39440,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
48700,Not Exist,179306,,,N/A (candidate not in SF),
50143,Not Exist,179306,,,N/A (candidate not in SF),
66371,Exist,179306,a00N300001F2jaoIAB,a02N300000qJPOAIA4,Exist,
85615,Exist,179306,a00N300001EtqB6IAJ,a02N300000qJPOAIA4,Exist,
91608,Exist,179306,a00N300001F2la6IAB,a02N300000qJPOAIA4,Not Exist,
91872,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
91872,Exist,179306,a00N300001F2lalIAB,a02N300000qJPOAIA4,Exist,
95055,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
96821,Exist,179303,a00N300001F2lrUIAR,a02N300000qJg7FIAS,Exist,
98804,Not Exist,179306,,,N/A (candidate not in SF),
99283,Exist,179303,a00N300001F2lyiIAB,a02N300000qJg7FIAS,Exist,
99283,Exist,179306,a00N300001F2lyiIAB,a02N300000qJPOAIA4,Exist,
104735,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
104735,Exist,179306,a00N300001F2mKpIAJ,a02N300000qJPOAIA4,Exist,
112693,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
115859,Not Exist,179306,,,N/A (candidate not in SF),
140413,Exist,179306,a00N300001EttCCIAZ,a02N300000qJPOAIA4,Not Exist,
142066,Exist,179306,a00N300001F2oLIIAZ,a02N300000qJPOAIA4,Exist,
144077,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
150478,Exist,179303,a00N300001EttwhIAB,a02N300000qJg7FIAS,Exist,
150478,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
150478,Exist,179306,a00N300001EttwhIAB,a02N300000qJPOAIA4,Exist,
151758,Not Exist,181707,,,N/A (candidate not in SF),
151758,Not Exist,181706,,,N/A (candidate not in SF),
153466,Not Exist,179306,,,N/A (candidate not in SF),
160372,Not Exist,182162,,,N/A (candidate not in SF),
160417,Not Exist,179306,,,N/A (candidate not in SF),
160765,Exist,179306,a00N300001EtuWKIAZ,a02N300000qJPOAIA4,Not Exist,
160789,Not Exist,179306,,,N/A (candidate not in SF),
161563,Exist,179306,a00N300001GNRCIIA5,a02N300000qJPOAIA4,Not Exist,
161570,Exist,179306,a00N300001F2pZ5IAJ,a02N300000qJPOAIA4,Exist,
162401,Exist,179303,a00N300001F2pcfIAB,a02N300000qJg7FIAS,Exist,
168247,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
169640,Not Exist,179306,,,N/A (candidate not in SF),
186648,Not Exist,179306,,,N/A (candidate not in SF),
186678,Exist,179303,a00N300001F2qleIAB,a02N300000qJg7FIAS,Exist,
186853,Not Exist,179303,,,N/A (candidate not in SF),
191974,Not Exist,182162,,,N/A (candidate not in SF),
191974,Not Exist,179303,,,N/A (candidate not in SF),
225840,Not Exist,179303,,,N/A (candidate not in SF),
259295,Exist,181707,a00N300001EtfxLIAR,a02N300000qLSrPIAW,Not Exist,
259836,Not Exist,182162,,,N/A (candidate not in SF),
265942,Not Exist,179306,,,N/A (candidate not in SF),
309634,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
310074,Not Exist,179306,,,N/A (candidate not in SF),
310765,Not Exist,179306,,,N/A (candidate not in SF),
315534,Not Exist,179306,,,N/A (candidate not in SF),
316266,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
318129,Not Exist,179303,,,N/A (candidate not in SF),
318129,Not Exist,182162,,,N/A (candidate not in SF),
318129,Not Exist,179306,,,N/A (candidate not in SF),
319209,Exist,179303,a00N300001Etz35IAB,a02N300000qJg7FIAS,Exist,
321116,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
321116,Exist,179303,a00N300001F2tzTIAR,a02N300000qJg7FIAS,Exist,
322216,Exist,179303,a00N3000016uhHrIAI,a02N300000qJg7FIAS,Not Exist,
322216,Exist,179306,a00N3000016uhHrIAI,a02N300000qJPOAIA4,Not Exist,
360136,Exist,179306,a00N300001F2v1JIAR,a02N300000qJPOAIA4,Not Exist,
370110,Not Exist,179306,,,N/A (candidate not in SF),
370419,Not Exist,179306,,,N/A (candidate not in SF),
371781,Exist,179306,a00N300001F2vN9IAJ,a02N300000qJPOAIA4,Not Exist,
373824,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
373824,Exist,179306,a00N300001Eu0j3IAB,a02N300000qJPOAIA4,Not Exist,
395409,Not Exist,179306,,,N/A (candidate not in SF),
397975,Exist,179306,a00N300001Eu1RyIAJ,a02N300000qJPOAIA4,Exist,
421552,Exist,179306,a00N300001Eu23VIAR,a02N300000qJPOAIA4,Not Exist,
422013,Not Exist,182162,,,N/A (candidate not in SF),
422997,Exist,179306,a00N300001F2wJNIAZ,a02N300000qJPOAIA4,Exist,
425989,Exist,179306,a00N300001F2wQ9IAJ,a02N300000qJPOAIA4,Exist,
428356,Not Exist,182162,,,N/A (candidate not in SF),
428939,Exist,179306,a00N300001Eu2JGIAZ,a02N300000qJPOAIA4,Exist,
429424,Not Exist,179306,,,N/A (candidate not in SF),
431028,Not Exist,179306,,,N/A (candidate not in SF),
442487,Exist,179306,a00N300001Eu2wdIAB,a02N300000qJPOAIA4,Exist,
443196,Not Exist,182162,,,N/A (candidate not in SF),
453670,Not Exist,179306,,,N/A (candidate not in SF),
488355,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
489266,Exist,179306,a00N3000017AUI4IAO,a02N300000qJPOAIA4,Exist,
489266,Exist,179303,a00N3000017AUI4IAO,a02N300000qJg7FIAS,Exist,
489326,Not Exist,179306,,,N/A (candidate not in SF),
489337,Exist,182364,,,Unresolved: Job__c match count = 0 (expected 1),
489339,Not Exist,179306,,,N/A (candidate not in SF),
489383,Exist,179306,a00N300001Eu3nhIAB,a02N300000qJPOAIA4,Not Exist,
489407,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
489616,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
489644,Not Exist,179306,,,N/A (candidate not in SF),
489649,Exist,179306,a00N300001F2xu6IAB,a02N300000qJPOAIA4,Not Exist,
489665,Exist,179306,a00N300001Gk0xJIAR,a02N300000qJPOAIA4,Not Exist,
489783,Exist,179306,a00N300001F2xuBIAR,a02N300000qJPOAIA4,Not Exist,
489912,Exist,179306,a00N300001Eu3o6IAB,a02N300000qJPOAIA4,Exist,
489994,Not Exist,179306,,,N/A (candidate not in SF),
490013,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
490013,Exist,179306,a00N300001Eu3oBIAR,a02N300000qJPOAIA4,Not Exist,
490073,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
490492,Not Exist,179306,,,N/A (candidate not in SF),
490492,Not Exist,182162,,,N/A (candidate not in SF),
490596,Not Exist,179306,,,N/A (candidate not in SF),
